,score
0x84443f61efc60d10da9f9a2398980cd5748394bb,50.23
0xd328aad3252df1b11ef6bda598b5998eb28f3e32,50.23
0x909ae1fc12c1c64f7554dc27a1c7785efaba79b7,50.23
0x1a01ea6f99123f161554ae7d489976fb95d0309b,50.23
0x7a1437563a366169ca566e9bcb1f7482bedbff14,50.22
0x3123f7271ee3ab8041328b6812439d11bfc79817,50.22
0xf73dc742b6ca210a153ea556ca79b6a7ebbeaaeb,50.22
0xae3c67b8aa12e458f2b4eafc0e9209710582c9d3,50.21
0xac9ba72fb61aa7c31a95df0a8b6eba6f41ef875e,50.21
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,50.21
0x64b51b755330e8c3bca0563670c751c3902eee0d,50.21
0x02ce3b6c086e88616783163fb095578c86fbd4a9,50.21
0x2f02f9e063e65a10342e221160eb43d638ec383a,50.21
0x41f2c7d530bb3ba3d9ef993c1892d95fb5deea95,50.21
0xb678853c57b94da8e6ffbf0e792e9c31788d84a2,50.2
0x60fc976145dd135c6bbc7df9406a60e8c2123850,50.2
0xc95be28595eb64485dac63ad14f15e41c94ee468,50.2
0xfed25267df17bfab23a1f8a26802674769d28c7b,50.2
0x58df55d6ab2db99d440241a607d91898b9ffd046,50.2
0x644239848c7b402d813295893db428aae7cc4cb5,50.2
0x7e5ce10826ee167de897d262fcc9976f609ecd2b,50.19
0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,50.19
0xf7085e76b02b6718a261a9b935339c1092383c1f,50.19
0x7a6ab4fe07d4b65a3a3b4a28cbde57ebaed9cd81,50.19
0x1c27590d3cfc7115eb8b35b1ab26d6cbc98a3906,50.19
0x159038f1e0183b3ef4eb197016214f6486189338,50.18
0x8da2d05400ee2e3d2053fa65a7629e3812312bb6,50.18
0xdede431dab9a59a99d6c6e7f998ebccc3cbaefd7,50.18
0x524802b34cb508be2062d02a6e1cf577c2e66fba,50.18
0xeae9132891b3e8da72ad8971f83744cd345e5ba0,50.18
0x1960d38799b4ca8677c27f9f4587380913a3ce54,50.17
0xd93032a49ae41e5c1281a1001e4bcbf2ae68def7,50.17
0xd4d5b2788812b2c4df6684050361a0204c9985b6,50.17
0x77d8c672d9fc98e44a036b2b24f51a9613da7e41,50.17
0xa900f41187fffa3524ba8243cd1570bcb338f710,50.17
0x95cfaddac52b76da6e858dd0896a46fcdf79e486,50.16
0x53c19cf633c65adb9748f884dbd84bd4eded3fba,50.16
0x35e283f461a9ca2e3a5765e72815c8d1dcb66ad6,50.16
0x80cbe79db5cba89d98b751d706f76b7980176293,50.16
0xca85b45119cbea766b65370cb7a6061b9060e3b0,50.16
0xabe65a54b5b5db177434ef4a84cf4b1512449e0c,50.16
0x23c1d8550966bf6a1fb04fce5dee74c8dd9eab33,50.16
0x34456a0a60af4afd40b20430e19bae1f3338504f,50.16
0x6a8ff90e596e037b2ded3881c19ab4fd1727a0c8,50.16
0x5641519cc28def80d631baa28b949f17a6a22ad1,50.16
0xd8a62ad8a7efa8a3267932d2e478c026566fbe34,50.15
0x4bbaf33a0a601618dfb876a96729dc7d1cc449fe,50.15
